ticker,nasdaq,marketCap
AMG,y,3358340608.0
AMGN,y,140970688512.0
AMH,y,8799544320.0
AMHC,y,125000000.0
AMK,y,1753288064.0
AMKR,y,3142637568.0
AMN,y,2754690304.0
AMNB,y,265884272.0
AMOT,y,416569248.0
AMOV,y,54386958336.0
AMP,y,19276703744.0
AMPE,y,180072832.0
AMPH,y,930433728.0
AMPY,y,47027124.0
AMRB,y,58887880.0
AMRC,y,1448028032.0
AMRH,y,6793496.0
AMRK,y,178387888.0
AMRN,y,2699172096.0
AMRS,y,789825472.0
AMRX,y,1320490752.0
AMS,y,12286080.0
AMSC,y,265132848.0
AMSF,y,1309682048.0
AMSWA,y,556706432.0
AMT,y,114268323840.0
AMTB,y,539148544.0
AMTBB,y,535113792.0
AMTD,y,19927642112.0
AMTX,y,40746692.0
AMWD,y,1477055872.0
AMX,y,55301390336.0
AMZN,y,1586548965376.0
AN,y,4650309120.0
ANAB,y,503535232.0
ANAT,y,2009818240.0
ANCN,y,8013460.0
ANDA,y,141451104.0
ANDAU,y,36702004.0
ANDE,y,562919040.0
ANET,y,17546708992.0
ANF,y,617521408.0
ANGI,y,7761101312.0
ANGO,y,355461984.0
ANH,y,176452992.0
ANIK,y,489553312.0
ANIP,y,374364928.0
ANIX,y,65859640.0
ANPC,y,85130640.0
ANSS,y,26797971456.0
ANTE,y,11812510.0
ANTM,y,69581651968.0
ANVS,y,38109688.0
ANY,y,16637474.0
AOD,y,845556672.0
AON,y,45273677824.0
AOS,y,7894709248.0
AOSL,y,289649760.0
AP,y,37742596.0
APA,y,5865713152.0
APAM,y,3101359360.0
APD,y,62223630336.0
APDN,y,50782000.0
APEI,y,449939744.0
APEN,y,35514600.0
APEX,y,3685921.0
APH,y,32212779008.0
APHA,y,1287811328.0
APLE,y,2145115264.0
APLS,y,2048868480.0
APLT,y,600078848.0
APM,y,106360448.0
APO,y,11179887616.0
APOG,y,616615040.0
APOP,y,3273590.0
APPF,y,5452473344.0
APPN,y,3658692864.0
APPS,y,1978077696.0
APRE,y,633749504.0
APRN,y,120513112.0
APT,y,247659072.0
APTO,y,436165184.0
APTS,y,352606336.0
APTV,y,22644295680.0
APTX,y,179860880.0
APVO,y,27317244.0
APWC,y,16169048.0
APXT,y,451392800.0
APYX,y,170920992.0
AQB,y,80535104.0
AQMS,y,63384356.0
AQN,y,8057820672.0
AQST,y,211235184.0
AQUA,y,2462323712.0
AR,y,1055397568.0
ARA,y,219643504.0
ARAV,y,96589144.0
ARAY,y,236248320.0
ARC,y,57434460.0
ARCB,y,797164928.0
ARCC,y,6284389376.0
ARCE,y,2680085248.0
ARCH,y,480437440.0
ARCO,y,1013275968.0
ARCT,y,1401162112.0
ARD,y,3493400832.0
ARDC,y,289873472.0
ARDS,y,70048456.0
ARDX,y,514748320.0
ARE,y,22152099840.0
AREC,y,33338134.0
ARES,y,5405692928.0
ARGO,y,1234905344.0
ARGX,y,10929301504.0
ARI,y,1401302784.0
ARKR,y,33798256.0
ARL,y,154372016.0
ARLO,y,458017856.0
ARLP,y,409567904.0
ARMK,y,5965174272.0
ARMP,y,68053160.0
ARNA,y,3647319296.0
ARNC,y,2175926528.0
AROC,y,1110409728.0
ARPO,y,64534920.0
ARQT,y,924104384.0
ARR,y,622961792.0
ARTL,y,5620462.0
ARTNA,y,349409440.0
ARTW,y,10978191.0
ARVN,y,1126900992.0
ARW,y,5759901184.0
ARWR,y,4115207168.0
ARYA,y,187594272.0
ASA,y,444632192.0
ASB,y,2130653952.0
ASC,y,129479824.0
ASFI,y,85446560.0
ASG,y,311479168.0
ASGN,y,3741674752.0
ASH,y,4800147968.0
ASIX,y,357386336.0
ASLN,y,30654360.0
ASM,y,108565856.0
ASMB,y,717879552.0
ASML,y,151633887232.0
ASND,y,7761400320.0
ASPN,y,173689088.0
ASPS,y,144493312.0
ASPU,y,244651008.0
ASR,y,3064898816.0
ASRT,y,82595352.0
ASRV,y,49811112.0
ASTC,y,24089964.0
ASTE,y,1158425728.0
ASUR,y,115098144.0
ASX,y,10197359616.0
ASYS,y,69252696.0
AT,y,180441152.0
ATAX,y,268215232.0
ATCO,y,1862909696.0
ATCX,y,52309772.0
ATEC,y,432968544.0
ATEN,y,674084928.0
ATEX,y,784305536.0
ATGE,y,1865404288.0
ATH,y,6878428160.0
ATHE,y,46292768.0
ATHM,y,10100111360.0
ATHX,y,515576672.0
ATI,y,1159080064.0
ATIF,y,74753376.0
ATKR,y,1445825024.0
ATLC,y,125763264.0
ATLO,y,180083088.0
ATNI,y,940961280.0
ATNM,y,167980400.0
ATNX,y,898694528.0
ATO,y,13039856640.0
ATOM,y,234545664.0
ATOS,y,35268400.0
ATR,y,7688500736.0
ATRA,y,945939584.0
ATRC,y,1910945152.0
ATRI,y,1186497920.0
ATRO,y,324993088.0
ATRS,y,514891584.0
ATSG,y,1560060928.0
ATTO,y,119078872.0
ATUS,y,16100768768.0
ATV,y,38740212.0
ATVI,y,63656284160.0
ATXI,y,171499184.0
AU,y,12769767424.0
AUB,y,1915845248.0
AUBN,y,160476752.0
AUDC,y,1186466176.0
AUG,y,253153584.0
AUMN,y,64749640.0
AUPH,y,1856356480.0
AUTL,y,818175488.0
AUTO,y,23006900.0
AUY,y,6184524800.0
AVA,y,2598420224.0
AVAL,y,4935241728.0
AVAV,y,1950354816.0
AVB,y,21654872064.0
AVCO,y,126983680.0
AVD,y,452155360.0
AVDL,y,485958432.0
AVEO,y,118705760.0
AVGO,y,131084148736.0
AVGR,y,29055062.0
AVH,y,109668240.0
AVID,y,392940704.0
AVK,y,488186336.0
AVLR,y,9764340736.0
AVNS,y,1489475968.0
AVNW,y,111689648.0
AVRO,y,594585728.0
AVT,y,2885378560.0
AVTR,y,12494228480.0
AVXL,y,252345648.0
AVY,y,9666591744.0
AVYA,y,1130881280.0
AWF,y,929556096.0
AWI,y,3477942528.0
AWK,y,27142545408.0
AWP,y,423623680.0
AWR,y,2945917184.0
AWRE,y,61275568.0
AWX,y,6898265.0
AX,y,1435471360.0
AXAS,y,33949936.0
AXDX,y,856694272.0
AXE,y,3327046656.0
AXGN,y,485890432.0
AXGT,y,121814720.0
AXL,y,809901952.0
AXLA,y,187883776.0
AXNX,y,1723974272.0
AXP,y,79839772672.0
AXR,y,38266928.0
AXS,y,3717082624.0
AXSM,y,2894515456.0
AXTA,y,5498009600.0
AXTI,y,204229504.0
AXU,y,398960544.0
AY,y,3051108096.0
AYI,y,4172628992.0
AYTU,y,166448704.0
AYX,y,8006370304.0
AZN,y,142945615872.0
AZO,y,27615948800.0
AZPN,y,6952004096.0
AZRE,y,1000666816.0
AZRX,y,33348274.0
AZUL,y,1344933632.0
AZZ,y,881985600.0
B,y,1999977472.0
BA,y,95967625216.0
BABA,y,680705327104.0
BAC,y,226219655168.0
BAF,y,129841392.0
BAH,y,11667694592.0
BAK,y,3452851968.0
BAM,y,50964115456.0
BANC,y,582648320.0
BAND,y,3558899968.0
BANF,y,1464595456.0
BANR,y,1312173952.0
BANX,y,115879624.0
BAP,y,10245364736.0
BASI,y,56385716.0
BATL,y,145673952.0
BATRA,y,988854976.0
BATRK,y,990983552.0
BAX,y,40868110336.0
BB,y,2702263808.0
BBAR,y,863922496.0
BBBY,y,1526271744.0
BBCP,y,243367536.0
BBD,y,34679681024.0
BBDC,y,395205216.0
BBDO,y,34733408256.0
BBF,y,138342048.0
BBGI,y,52438048.0
BBI,y,24380810.0
BBIO,y,3444480512.0
BBK,y,169420304.0
BBL,y,116035747840.0
BBN,y,1525077248.0
BBQ,y,29609900.0
BBSI,y,442642688.0
BBU,y,2330115328.0
BBVA,y,20013989888.0
BBW,y,37672380.0
BBX,y,291503072.0
BBY,y,26579996672.0
BC,y,5055272448.0
BCBP,y,147205360.0
BCC,y,1751696000.0
BCDA,y,32906416.0
BCE,y,38452342784.0
BCEI,y,411303392.0
BCEL,y,376228032.0
BCH,y,9036946432.0
BCLI,y,403241824.0
BCML,y,125349320.0
BCO,y,2384071680.0
BCOM,y,249196496.0
BCOR,y,517368192.0
BCOV,y,424098944.0
BCOW,y,42016536.0
BCPC,y,3346765312.0
BCRX,y,700311936.0
BCS,y,24098721792.0
BCSF,y,679195456.0
BCTF,y,31647110.0
BCV,y,144107040.0
BCX,y,586845632.0
BCYC,y,304500672.0
BDC,y,1530854912.0
BDGE,y,419742176.0
BDJ,y,1421568384.0
BDL,y,28084200.0
BDN,y,1963295232.0
BDR,y,7456839.0
BDSI,y,453193632.0
BDTX,y,1086298624.0
BDX,y,75609407488.0
BE,y,1662227200.0
BEAM,y,1208355200.0
BEAT,y,1487411072.0
BECN,y,2207256320.0
BEDU,y,919788864.0
BELFA,y,158109728.0
BELFB,y,159301568.0
BEN,y,11051414528.0
BEP,y,8267311104.0
BERY,y,7129902080.0
BEST,y,1860516224.0
BFC,y,494490816.0
BFIN,y,117885976.0
BFK,y,665744832.0
BFO,y,78423432.0
BFRA,y,170225232.0
BFS,y,730800000.0
BFST,y,307321248.0
BFY,y,73021784.0
BFYT,y,442056864.0
BFZ,y,445691168.0
BG,y,6348171264.0
BGB,y,529273152.0
BGCP,y,1036312192.0
BGFV,y,171048368.0
BGG,y,32977878.0
BGH,y,264361808.0
BGI,y,16955544.0
BGIO,y,188252048.0
BGNE,y,20324366336.0
BGR,y,216233424.0
BGS,y,1896066816.0
BGSF,y,102657720.0
BGT,y,253321952.0
BGX,y,158212112.0
BGY,y,573590656.0
BH,y,240630576.0
BHAT,y,44629196.0
BHB,y,323702624.0
BHC,y,6433218560.0
BHE,y,765458048.0
BHF,y,2883826176.0
BHFAP,y,4380356608.0
BHK,y,873748672.0
BHLB,y,524940320.0
BHP,y,142569242624.0
BHR,y,95890080.0
BHTG,y,39509924.0
BHV,y,25248300.0
BHVN,y,3959703296.0
BIDU,y,43083247616.0
BIF,y,1026006272.0
BIG,y,1783053568.0
BIIB,y,48397864960.0
BILI,y,14373218304.0
BILL,y,7429815296.0
BIMI,y,22534148.0
BIO,y,15543704576.0
BIOC,y,132412008.0
BIOL,y,21345050.0
BIOX,y,211485536.0
BIP,y,12660546560.0
BIT,y,584460416.0
BITA,y,1115423744.0
BJ,y,5815949824.0
BJRI,y,503305216.0
BK,y,33441290240.0
BKCC,y,195780720.0
BKD,y,551323648.0
BKE,y,868596160.0
BKEP,y,58679760.0
BKEPP,y,240246624.0
BKH,y,3704482560.0
BKI,y,12037729280.0
BKK,y,304560832.0
BKN,y,283911072.0
BKNG,y,71812448256.0
BKR,y,17129237504.0
BKSC,y,92456840.0
BKT,y,391714176.0
BKTI,y,42352628.0
BKU,y,2054503296.0
BKYI,y,41996668.0
BL,y,4469201920.0
BLBD,y,358111712.0
BLCM,y,35652224.0
BLD,y,4695460352.0
BLDP,y,3599858944.0
BLDR,y,3141617920.0
BLE,y,366818624.0
BLFS,y,671244288.0
BLIN,y,12685887.0
BLK,y,89675448320.0
BLKB,y,3315582464.0
BLL,y,24622929920.0
BLMN,y,1049684992.0
BLNK,y,366777664.0
BLPH,y,115398024.0
BLRX,y,46785508.0
BLU,y,165145008.0
BLUE,y,4203835904.0
BLW,y,535201472.0
BLX,y,471267360.0
BMA,y,1423692032.0
BMCH,y,2044244864.0
BME,y,494558912.0
BMI,y,1966595968.0
BMO,y,36038426624.0
BMRA,y,103540408.0
BMRC,y,457228128.0
BMRN,y,21520803840.0
BMTC,y,561767488.0
BMY,y,138069344256.0
BNED,y,108607968.0
BNFT,y,407595808.0
BNGO,y,118332832.0
BNS,y,51596034048.0
BNSO,y,13383215.0
BNTC,y,2554231552.0
BNTX,y,18339319808.0
BNY,y,189321296.0
BOCH,y,133574824.0
BOE,y,633367872.0
BOH,y,2354498304.0
BOKF,y,4172702720.0
BOKFL,y,5388569088.0
BOMN,y,439782240.0
BOOM,y,477786848.0
BOOT,y,681864896.0
BORR,y,157445248.0
BOSC,y,11964390.0
BOTJ,y,45911276.0
BOX,y,2665478656.0
BOXL,y,101652104.0
BP,y,77581164544.0
BPFH,y,506300928.0
BPMC,y,4115007744.0
BPMP,y,1157808000.0
BPOP,y,3119050240.0
BPRN,y,125940792.0
BPT,y,57780000.0
BPTH,y,18422380.0
BPY,y,10951116800.0
BPYPP,y,13183619072.0
BPYU,y,661857216.0
BQH,y,44955608.0
BR,y,15528998912.0
BRBR,y,780292032.0
BRBS,y,82825528.0
BRC,y,2542932224.0
BREW,y,291615872.0
BRFS,y,3379920896.0
BRG,y,190802688.0
BRID,y,154306112.0
BRKL,y,812211200.0
BRKR,y,6806170112.0
BRKS,y,4153436928.0
BRMK,y,1301293440.0
BRN,y,7947729.0
BRO,y,13026413568.0
BROG,y,1009305472.0
BRP,y,1512481792.0
BRPA,y,28844238.0
BRPAU,y,36610928.0
BRQS,y,38931372.0
BRT,y,188425120.0
BRX,y,3611138560.0
BRY,y,365010016.0
BSAC,y,7665574912.0
BSBK,y,105260000.0
BSBR,y,20465758208.0
BSD,y,104799160.0
BSE,y,90427680.0
BSET,y,89758328.0
BSGM,y,210585520.0
BSIG,y,1090484608.0
BSL,y,204223632.0
BSM,y,1515389568.0
BSMX,y,4503125504.0
BSQR,y,19779036.0
BSRR,y,286232352.0
BST,y,993889856.0
BSTC,y,481315232.0
BSTZ,y,2017064704.0
BSVN,y,100197072.0
BSX,y,55753207808.0
BTA,y,173061152.0
BTAI,y,1176911360.0
BTE,y,292633312.0
BTG,y,7326848000.0
BTI,y,75505745920.0
BTN,y,26958392.0
BTO,y,421493312.0
BTT,y,1763345024.0
BTU,y,246204000.0
BTZ,y,1350771584.0
BUD,y,106539507712.0
BUI,y,387325856.0
BURL,y,11864916992.0
BUSE,y,991100928.0
BV,y,1346954496.0
BVN,y,3317070336.0
BVXV,y,454257248.0
BW,y,132650360.0
BWA,y,8064252928.0
BWAY,y,67036200.0
BWB,y,288376000.0
BWEN,y,73926280.0
BWFG,y,121625248.0
BWG,y,264891280.0
BWMX,y,516075968.0
BWXT,y,5465800192.0
BX,y,36637794304.0
BXC,y,168696944.0
BXG,y,394314624.0
BXMT,y,3498493952.0
BXMX,y,1202204928.0
BXP,y,14012205056.0
BXRX,y,60440800.0
BXS,y,2338983424.0
BY,y,517856800.0
BYD,y,2853613824.0
BYFC,y,52152540.0
BYM,y,386060096.0
BYND,y,8209590272.0
BYSI,y,350364576.0
BZH,y,345260384.0
BZM,y,30131460.0
BZUN,y,2620666880.0
C,y,108506537984.0
CAAP,y,467264256.0
CAAS,y,86990032.0
CABA,y,300905696.0
CABO,y,11504047104.0
CAC,y,501559776.0
CACC,y,9064958976.0
CACI,y,5290199040.0
CADE,y,1109452160.0
CAE,y,4061612288.0
CAF,y,469576960.0
CAG,y,18437312512.0
CAH,y,15352623104.0
CAI,y,351530528.0
CAJ,y,17861079040.0
CAKE,y,1174745856.0
CAL,y,256671952.0
CALA,y,317702016.0
CALB,y,110859064.0
CALM,y,2194783744.0
CALX,y,1375843840.0
CAMP,y,288318176.0
CAMT,y,606171584.0
CAN,y,372886528.0
CANF,y,33735008.0
CANG,y,919425536.0
CAPL,y,573669888.0
CAPR,y,81389920.0
CAR,y,1963255552.0
CARA,y,793193920.0
CARE,y,197622144.0
CARG,y,3377870336.0
CARO,y,816998976.0
CARS,y,619584000.0
CARV,y,25304580.0
CASA,y,497977440.0
CASH,y,702542400.0
CASI,y,234254160.0
CASS,y,553072192.0
CASY,y,6313276928.0
CAT,y,73060122624.0
CATB,y,116510776.0
CATC,y,405686112.0
CATM,y,951508160.0
CATO,y,195487808.0
CATY,y,2105152896.0
CB,y,58655010816.0
CBAN,y,99832176.0
CBAT,y,55855560.0
CBAY,y,431204448.0
CBB,y,762509632.0
CBD,y,3356574464.0
CBFV,y,99729696.0
CBH,y,168094016.0
CBIO,y,118853272.0
CBL,y,42963112.0
CBLI,y,35915096.0
CBMB,y,46117920.0
CBMG,y,279622560.0
CBNK,y,149236560.0
CBOE,y,9577229312.0
CBPO,y,4082406656.0
CBRE,y,14758938624.0
CBRL,y,2758455552.0
CBSH,y,6685287936.0
CBSHP,y,6192957952.0
CBT,y,2177411584.0
CBTX,y,427904480.0
CBU,y,3181407232.0
CBZ,y,1362668032.0
CC,y,3265091072.0
CCAP,y,339560160.0
CCB,y,165656304.0
CCBG,y,344499584.0
CCC,y,11191032832.0
CCCL,y,7887569.0
CCD,y,560228224.0
CCEP,y,18517471232.0
CCF,y,990062912.0
CCH,y,773310016.0
CCI,y,70583959552.0
CCJ,y,4117937152.0
CCK,y,9992899584.0
CCL,y,11137615872.0
CCLP,y,53025728.0
CCM,y,77754472.0
CCMP,y,4698954240.0
CCNE,y,270056384.0
CCO,y,443986464.0
CCOI,y,3517869056.0
CCR,y,147379872.0
CCRC,y,84224512.0
CCRN,y,259226656.0
CCS,y,1201288576.0
CCU,y,2670475520.0
CCX,y,926324992.0
CCXI,y,3747150336.0
CDAY,y,10341961728.0
CDE,y,2093709440.0
CDEV,y,241938976.0
